Car.v,DistanceKm,Driver.Brake,Driver.Gas,Driver.GearNo,Fefficiency,FullBatteryCapacity,PT.BattHV.Energy,Time,Time.Global,UsedCapacity,Vhcl.Wind.vx,Vhcl.Wind.vy,Vhcl.Wind.vz,target
0.0,0.0,0.0,0.0,0,-2147483648,10,7.0,0,0.624,3.0,0,0,0,33.529879
0.40707813,0.000103349,0.0,1.0,0,29028884,10,6.999895,1,1.624,3.0001046,0,0,0,33.529879
1.4260804,0.00101532,0.0,1.0,0,2955497,10,6.9992232,2,2.624,3.0007758,0,0,0,33.529879
2.4568261,0.002956343,0.0,1.0,0,1015466,10,6.9979287,3,3.624,3.0020697,0,0,0,33.529879
3.4862748,0.00592751,0.0,1.0,0,506785,10,6.9960171,4,4.624,3.0039807,0,0,0,33.529879
4.5124279,0.009927165,0.0,0.98464328,0,302854,10,6.9935039,5,5.624,3.0064933,0,0,0,33.529879
5.3825474,0.014900855,0.0,0.73296253,0,201934,10,6.990999,6,6.624,3.0089986,0,0,0,33.529879
5.8791784,0.020564266,0.0,0.4142773,0,146401,10,6.9893523,7,7.624,3.0106463,0,0,0,33.529879
5.9901991,0.026528225,0.0,0.13171443,0,113509,10,6.9888006,8,8.624,3.0111991,0,0,0,33.529879
5.8499165,0.032459601,0.0,0.024312323,0,92765,10,6.9888815,9,9.624,3.0111186,0,0,0,33.529879
5.6760464,0.038220483,0.0,0.045414046,0,78780,10,6.9889566,10,10.624,3.0110435,0,0,0,33.529879
5.5497466,0.043828222,0.0,0.09533449,0,68702,10,6.9888695,11,11.624,3.0111304,0,0,0,33.529879
5.4866334,0.049341451,0.0,0.14353564,0,61031,10,6.9886007,12,12.624,3.011399,0,0,0,33.529879
5.4742588,0.054818521,0.0,0.17638535,0,54941,10,6.9881993,13,13.624,3.0118003,0,0,0,33.529879
5.4915702,0.060299836,0.0,0.19199784,0,49954,10,6.9877255,14,14.624,3.012274,0,0,0,33.529879
5.5192399,0.06580501,0.0,0.19439886,0,45783,10,6.9872301,15,15.624,3.0127694,0,0,0,33.529879
5.5447065,0.071337511,0.0,0.18934282,0,42239,10,6.9867447,16,16.624,3.0132549,0,0,0,33.529879
5.5615077,0.076891445,0.0,0.18136212,0,39194,10,6.9862848,17,17.624,3.0137147,0,0,0,33.529879
5.5687298,0.082457284,0.0,0.17438411,0,36554,10,6.985851,18,18.624,3.0141485,0,0,0,33.529879
5.5688187,0.088026515,0.0,0.16996804,0,34246,10,6.9854357,19,19.624,3.0145639,0,0,0,33.529879
5.5651002,0.093593661,0.0,0.16816464,0,32213,10,6.9850294,20,20.624,3.0149702,0,0,0,33.529879
5.5603981,0.099156407,0.0,0.1682089,0,30410,10,6.9846246,21,21.624,3.015375,0,0,0,33.529879
5.5564507,0.10471472,0.0,0.16928896,0,28799,10,6.9842171,22,22.624,3.0157825,0,0,0,33.529879
5.554081,0.11026985,0.0,0.17065035,0,27352,10,6.983805,23,23.624,3.0161946,0,0,0,33.529879
5.5532522,0.1158234,0.0,0.17174056,0,26044,10,6.9833887,24,24.624,3.0166109,0,0,0,33.529879
5.553486,0.12137671,0.0,0.17237484,0,24856,10,6.9829696,25,25.624,3.0170299,0,0,0,33.529879
5.5542266,0.12693054,0.0,0.17258433,0,23772,10,6.9825494,26,26.624,3.0174501,0,0,0,33.529879
5.5550425,0.13248518,0.0,0.17251456,0,22778,10,6.9821292,27,27.624,3.0178704,0,0,0,33.529879
5.5556823,0.13804057,0.0,0.17228717,0,21865,10,6.9817096,28,28.624,3.0182899,0,0,0,33.529879
5.5560435,0.14359645,0.0,0.1720288,0,21022,10,6.981291,29,29.624,3.0187086,0,0,0,33.529879
5.5561524,0.14915257,0.0,0.17182144,0,20241,10,6.9808731,30,30.624,3.0191265,0,0,0,33.529879
