Car.v,DistanceKm,Driver.Brake,Driver.Gas,Driver.GearNo,Fefficiency,FullBatteryCapacity,PT.BattHV.Energy,Time,Time.Global,UsedCapacity,Vhcl.Wind.vx,Vhcl.Wind.vy,Vhcl.Wind.vz,target
0.0,0.0,0.0,0.0,0,-2147483648,12,8.4,0,0.624,3.6,0,0,0,40.163685
0.40707813,0.000103349,0.0,1.0,0,34834551,12,8.3998855,1,1.624,3.6001142,0,0,0,40.163685
1.4260804,0.00101532,0.0,1.0,0,3546479,12,8.3991875,2,2.624,3.6008114,0,0,0,40.163685
2.4568261,0.002956343,0.0,1.0,0,1218442,12,8.3978643,3,3.624,3.6021341,0,0,0,40.163685
3.4862748,0.00592751,0.0,1.0,0,608024,12,8.3959226,4,4.624,3.6040752,0,0,0,40.163685
4.5124279,0.009927165,0.0,0.98464328,0,363307,12,8.3933803,5,5.624,3.6066169,0,0,0,40.163685
5.3825474,0.014900855,0.0,0.73296253,0,242208,12,8.3908829,6,6.624,3.6091147,0,0,0,40.163685
5.8791784,0.020564266,0.0,0.4142773,0,175582,12,8.3892736,7,7.624,3.610725,0,0,0,40.163685
5.9901991,0.026528225,0.0,0.13171443,0,136127,12,8.3887676,8,8.624,3.6112321,0,0,0,40.163685
5.8499165,0.032459601,0.0,0.024312323,0,111249,12,8.3888712,9,9.624,3.6111289,0,0,0,40.163685
5.6760464,0.038220483,0.0,0.045414046,0,94479,12,8.3889484,10,10.624,3.6110516,0,0,0,40.163685
5.5497466,0.043828222,0.0,0.09533449,0,82393,12,8.3888567,11,11.624,3.6111432,0,0,0,40.163685
5.4866334,0.049341451,0.0,0.14353564,0,73192,12,8.3885817,12,12.624,3.611418,0,0,0,40.163685
5.4742588,0.054818521,0.0,0.17638535,0,65886,12,8.3881752,13,13.624,3.6118244,0,0,0,40.163685
5.4915702,0.060299836,0.0,0.19199784,0,59905,12,8.3876983,14,14.624,3.6123012,0,0,0,40.163685
5.5192399,0.06580501,0.0,0.19439886,0,54901,12,8.3872017,15,15.624,3.6127978,0,0,0,40.163685
5.5447065,0.071337511,0.0,0.18934282,0,50650,12,8.3867164,16,16.624,3.6132831,0,0,0,40.163685
5.5615077,0.076891445,0.0,0.18136212,0,46997,12,8.3862573,17,17.624,3.6137422,0,0,0,40.163685
5.5687298,0.082457284,0.0,0.17438411,0,43830,12,8.3858245,18,18.624,3.6141751,0,0,0,40.163685
5.5688187,0.088026515,0.0,0.16996804,0,41062,12,8.3854098,19,19.624,3.6145898,0,0,0,40.163685
5.5651002,0.093593661,0.0,0.16816464,0,38624,12,8.3850037,20,20.624,3.6149958,0,0,0,40.163685
5.5603981,0.099156407,0.0,0.1682089,0,36461,12,8.384599,21,21.624,3.6154006,0,0,0,40.163685
5.5564507,0.10471472,0.0,0.16928896,0,34530,12,8.3841913,22,22.624,3.6158082,0,0,0,40.163685
5.554081,0.11026985,0.0,0.17065035,0,32794,12,8.3837789,23,23.624,3.6162207,0,0,0,40.163685
5.5532522,0.1158234,0.0,0.17174056,0,31225,12,8.3833624,24,24.624,3.6166372,0,0,0,40.163685
5.553486,0.12137671,0.0,0.17237484,0,29800,12,8.3829431,25,25.624,3.6170565,0,0,0,40.163685
5.5542266,0.12693054,0.0,0.17258433,0,28499,12,8.3825227,26,26.624,3.6174768,0,0,0,40.163685
5.5550425,0.13248518,0.0,0.17251456,0,27307,12,8.3821024,27,27.624,3.6178972,0,0,0,40.163685
5.5556823,0.13804057,0.0,0.17228717,0,26211,12,8.3816828,28,28.624,3.6183168,0,0,0,40.163685
5.5560435,0.14359645,0.0,0.1720288,0,25200,12,8.381264,29,29.624,3.6187355,0,0,0,40.163685
5.5561524,0.14915257,0.0,0.17182144,0,24264,12,8.3808461,30,30.624,3.6191535,0,0,0,40.163685
5.5560934,0.1547087,0.0,0.17169087,0,23396,12,8.3804287,31,31.624,3.6195709,0,0,0,40.163685
5.5559577,0.16026473,0.0,0.17163025,0,22587,12,8.3800116,32,32.624,3.619988,0,0,0,40.163685
5.5558158,0.16582061,0.0,0.1716167,0,21833,12,8.3795946,33,33.624,3.620405,0,0,0,40.163685
5.555708,0.17137637,0.0,0.17162351,0,21127,12,8.3791776,34,34.624,3.620822,0,0,0,40.163685
5.5556487,0.17693205,0.0,0.17163172,0,20466,12,8.3787606,35,35.624,3.621239,0,0,0,40.163685
5.5556328,0.18248768,0.0,0.17162872,0,19846,12,8.3783436,36,36.624,3.621656,0,0,0,40.163685
5.5556474,0.18804332,0.0,0.17163769,0,19261,12,8.3779266,37,37.624,3.622073,0,0,0,40.163685
5.5556935,0.19359899,0.0,0.1715895,0,18711,12,8.3775097,38,38.624,3.6224899,0,0,0,40.163685
5.5557161,0.1991547,0.0,0.17153843,0,18191,12,8.377093,39,39.624,3.6229066,0,0,0,40.163685
5.5557161,0.20471042,0.0,0.17149372,0,17699,12,8.3766765,40,40.624,3.6233231,0,0,0,40.163685
5.555701,0.21026613,0.0,0.17145795,0,17234,12,8.3762601,41,41.624,3.6237395,0,0,0,40.163685
5.5556793,0.21582182,0.0,0.1714304,0,16792,12,8.3758438,42,42.624,3.6241558,0,0,0,40.163685
5.5556576,0.22137749,0.0,0.17140881,0,16372,12,8.3754276,43,43.624,3.624572,0,0,0,40.163685
5.5556379,0.22693313,0.0,0.1713922,0,15973,12,8.3750115,44,44.624,3.6249881,0,0,0,40.163685
5.5556162,0.23248876,0.0,0.17138353,0,15593,12,8.3745954,45,45.624,3.6254041,0,0,0,40.163685
5.5555838,0.23804436,0.0,0.17138905,0,15231,12,8.3741794,46,46.624,3.6258202,0,0,0,40.163685
5.5555244,0.24359992,0.0,0.17142485,0,14886,12,8.3737632,47,47.624,3.6262364,0,0,0,40.163685
