Car.v,DistanceKm,Driver.Brake,Driver.Gas,Driver.GearNo,Fefficiency,FullBatteryCapacity,PT.BattHV.Energy,Time,Time.Global,UsedCapacity,Vhcl.Wind.vx,Vhcl.Wind.vy,Vhcl.Wind.vz,target
0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,27.272092
0.0,0.0,0.0,0.0,0,-2147483648,8,5.6,0,0.624,2.4,0,0,0,27.272092
0.40707813,0.000103349,0.0,1.0,0,23223217,8,5.5999045,1,1.624,2.4000951,0,0,0,27.272092
1.4260804,0.00101532,0.0,1.0,0,2364515,8,5.5992589,2,2.624,2.4007401,0,0,0,27.272092
2.4568261,0.002956343,0.0,1.0,0,812491,8,5.5979932,3,3.624,2.4020052,0,0,0,27.272092
3.4862748,0.00592751,0.0,1.0,0,405547,8,5.5961116,4,4.624,2.4038862,0,0,0,27.272092
4.5124279,0.009927165,0.0,0.98464328,0,242402,8,5.5936276,5,5.624,2.4063696,0,0,0,27.272092
5.3825474,0.014900855,0.0,0.73296253,0,161660,8,5.5911152,6,6.624,2.4088824,0,0,0,27.272092
5.8791784,0.020564266,0.0,0.4142773,0,117221,8,5.5894311,7,7.624,2.4105676,0,0,0,27.272092
5.9901991,0.026528225,0.0,0.13171443,0,90890,8,5.5888336,8,8.624,2.4111662,0,0,0,27.272092
5.8499165,0.032459601,0.0,0.024312323,0,74280,8,5.5888918,9,9.624,2.4111083,0,0,0,27.272092
5.6760464,0.038220483,0.0,0.045414046,0,63082,8,5.5889647,10,10.624,2.4110353,0,0,0,27.272092
5.5497466,0.043828222,0.0,0.09533449,0,55012,8,5.5888822,11,11.624,2.4111176,0,0,0,27.272092
5.4866334,0.049341451,0.0,0.14353564,0,48871,8,5.5886197,12,12.624,2.41138,0,0,0,27.272092
5.4742588,0.054818521,0.0,0.17638535,0,43995,8,5.5882234,13,13.624,2.4117762,0,0,0,27.272092
5.4915702,0.060299836,0.0,0.19199784,0,40004,8,5.5877527,14,14.624,2.4122468,0,0,0,27.272092
5.5192399,0.06580501,0.0,0.19439886,0,36664,8,5.5872585,15,15.624,2.412741,0,0,0,27.272092
5.5447065,0.071337511,0.0,0.18934282,0,33828,8,5.5867729,16,16.624,2.4132266,0,0,0,27.272092
5.5615077,0.076891445,0.0,0.18136212,0,31390,8,5.5863123,17,17.624,2.4136873,0,0,0,27.272092
5.5687298,0.082457284,0.0,0.17438411,0,29277,8,5.5858776,18,18.624,2.414122,0,0,0,27.272092
5.5688187,0.088026515,0.0,0.16996804,0,27429,8,5.5854616,19,19.624,2.414538,0,0,0,27.272092
5.5651002,0.093593661,0.0,0.16816464,0,25802,8,5.585055,20,20.624,2.4149446,0,0,0,27.272092
